calibration_ratio,replication_id,outcome,liquidity_effect,market_effect,channel_difference
0.5,primary-0148,exit_rate,0.248333333333,0.395,-0.146666666667
0.5,primary-0148,rmst_days,3.525,9.3,-5.775
0.5,primary-0149,exit_rate,0.318333333333,0.0283333333333,0.29
0.5,primary-0149,rmst_days,1.735,0.12,1.615
0.5,primary-0150,exit_rate,0.368333333333,0.141666666667,0.226666666667
0.5,primary-0150,rmst_days,3.075,2.13166666667,0.943333333333
0.5,primary-0151,exit_rate,0.375,0.246666666667,0.128333333333
0.5,primary-0151,rmst_days,2.725,1.665,1.06
0.5,primary-0152,exit_rate,0.361666666667,0.148333333333,0.213333333333
0.5,primary-0152,rmst_days,1.84333333333,0.628333333333,1.215
0.5,primary-0153,exit_rate,0.353333333333,0.163333333333,0.19
0.5,primary-0153,rmst_days,2.42,1.69666666667,0.723333333333
0.5,primary-0154,exit_rate,0.243333333333,0.398333333333,-0.155
0.5,primary-0154,rmst_days,3.205,6.06,-2.855
0.5,primary-0155,exit_rate,0.37,0.143333333333,0.226666666667
0.5,primary-0155,rmst_days,2.01833333333,0.241666666667,1.77666666667
0.5,primary-0156,exit_rate,0.273333333333,0.0233333333333,0.25
0.5,primary-0156,rmst_days,1.49,0.115,1.375
0.5,primary-0157,exit_rate,0.355,0.161666666667,0.193333333333
0.5,primary-0157,rmst_days,2.66666666667,1.60166666667,1.065
0.5,primary-0158,exit_rate,0.296666666667,0.363333333333,-0.0666666666667
0.5,primary-0158,rmst_days,2.98166666667,2.81833333333,0.163333333333
0.5,primary-0159,exit_rate,0.37,0.265,0.105
0.5,primary-0159,rmst_days,2.17,0.87,1.3
0.5,primary-0160,exit_rate,0.315,0.351666666667,-0.0366666666667
0.5,primary-0160,rmst_days,3.71833333333,6.71166666667,-2.99333333333
0.5,primary-0161,exit_rate,0.35,0.163333333333,0.186666666667
0.5,primary-0161,rmst_days,2.625,1.515,1.11
0.5,primary-0162,exit_rate,0.363333333333,0.263333333333,0.1
0.5,primary-0162,rmst_days,2.33333333333,1.16333333333,1.17
0.5,primary-0163,exit_rate,0.37,0.278333333333,0.0916666666667
0.5,primary-0163,rmst_days,3.795,4.69333333333,-0.898333333333
0.5,primary-0164,exit_rate,0.286666666667,0.0266666666667,0.26
0.5,primary-0164,rmst_days,1.43833333333,0.128333333333,1.31
0.5,primary-0165,exit_rate,0.315,0.346666666667,-0.0316666666667
0.5,primary-0165,rmst_days,3.715,5.64,-1.925
0.5,primary-0166,exit_rate,0.321666666667,0.338333333333,-0.0166666666667
0.5,primary-0166,rmst_days,3.02833333333,4.03833333333,-1.01
0.5,primary-0167,exit_rate,0.321666666667,0.341666666667,-0.02
0.5,primary-0167,rmst_days,3.07166666667,2.50666666667,0.565
0.5,primary-0168,exit_rate,0.353333333333,0.28,0.0733333333333
0.5,primary-0168,rmst_days,3.75833333333,5.99833333333,-2.24
0.5,primary-0169,exit_rate,0.215,0.403333333333,-0.188333333333
0.5,primary-0169,rmst_days,2.98166666667,6.35,-3.36833333333
0.5,primary-0170,exit_rate,0.26,0.04,0.22
0.5,primary-0170,rmst_days,1.335,0.12,1.215
0.5,primary-0171,exit_rate,0.3,0.366666666667,-0.0666666666667
0.5,primary-0171,rmst_days,3.70333333333,6.26666666667,-2.56333333333
0.5,primary-0172,exit_rate,0.278333333333,0.0283333333333,0.25
0.5,primary-0172,rmst_days,1.31166666667,0.0566666666667,1.255
0.5,primary-0173,exit_rate,0.363333333333,0.271666666667,0.0916666666667
0.5,primary-0173,rmst_days,2.38166666667,1.76666666667,0.615
0.5,primary-0174,exit_rate,0.351666666667,0.281666666667,0.07
0.5,primary-0174,rmst_days,3.48,4.97,-1.49
0.5,primary-0175,exit_rate,0.241666666667,0.408333333333,-0.166666666667
0.5,primary-0175,rmst_days,3.56166666667,7.35833333333,-3.79666666667
0.5,primary-0176,exit_rate,0.278333333333,0.0183333333333,0.26
0.5,primary-0176,rmst_days,1.195,0.1,1.095
0.5,primary-0177,exit_rate,0.378333333333,0.15,0.228333333333
0.5,primary-0177,rmst_days,2.00166666667,0.5,1.50166666667
0.5,primary-0178,exit_rate,0.376666666667,0.256666666667,0.12
