calibration_ratio,liquidity_intensity,market_intensity,day,mean_survival,sd_survival,runs
2,0,0,26,1,0,200
2,0,0,27,1,0,200
2,0,0,28,1,0,200
2,0,0,29,1,0,200
2,0,0,30,1,0,200
2,0,1,1,1,0,200
2,0,1,2,1,0,200
2,0,1,3,1,0,200
2,0,1,4,1,0,200
2,0,1,5,1,0,200
2,0,1,6,1,0,200
2,0,1,7,1,0,200
2,0,1,8,1,0,200
2,0,1,9,1,0,200
2,0,1,10,1,0,200
2,0,1,11,1,0,200
2,0,1,12,1,0,200
2,0,1,13,1,0,200
2,0,1,14,1,0,200
2,0,1,15,1,0,200
2,0,1,16,1,0,200
2,0,1,17,1,0,200
2,0,1,18,1,0,200
2,0,1,19,1,0,200
2,0,1,20,1,0,200
2,0,1,21,1,0,200
2,0,1,22,1,0,200
2,0,1,23,1,0,200
2,0,1,24,1,0,200
2,0,1,25,1,0,200
2,0,1,26,1,0,200
2,0,1,27,1,0,200
2,0,1,28,1,0,200
2,0,1,29,1,0,200
2,0,1,30,1,0,200
2,0,2,1,1,0,200
2,0,2,2,1,0,200
2,0,2,3,1,0,200
2,0,2,4,1,0,200
2,0,2,5,1,0,200
2,0,2,6,1,0,200
2,0,2,7,1,0,200
2,0,2,8,1,0,200
2,0,2,9,1,0,200
2,0,2,10,1,0,200
2,0,2,11,1,0,200
2,0,2,12,0.99995,0.000707106781187,200
2,0,2,13,0.99995,0.000707106781187,200
2,0,2,14,0.99995,0.000707106781187,200
2,0,2,15,0.99995,0.000707106781187,200
2,0,2,16,0.9989,0.0113770464502,200
2,0,2,17,0.9989,0.0113770464502,200
2,0,2,18,0.9989,0.0113770464502,200
2,0,2,19,0.9979,0.0214684529569,200
2,0,2,20,0.99775,0.0214882812518,200
2,0,2,21,0.9977,0.0214946528351,200
2,0,2,22,0.9977,0.0214946528351,200
2,0,2,23,0.9967,0.0242911568582,200
2,0,2,24,0.99565,0.0263257044268,200
2,0,2,25,0.9943,0.0321977245677,200
2,0,2,26,0.99205,0.0360108512401,200
2,0,2,27,0.9906,0.0385104567148,200
2,0,2,28,0.99005,0.0391556294367,200
2,0,2,29,0.9874,0.0452712650275,200
2,0,2,30,0.9855,0.0513021397969,200
2,1,0,1,1,0,200
2,1,0,2,1,0,200
2,1,0,3,1,0,200
2,1,0,4,1,0,200
2,1,0,5,1,0,200
2,1,0,6,1,0,200
2,1,0,7,1,0,200
2,1,0,8,1,0,200
2,1,0,9,1,0,200
2,1,0,10,1,0,200
2,1,0,11,1,0,200
2,1,0,12,1,0,200
2,1,0,13,0.9998,0.00140351317993,200
2,1,0,14,0.99905,0.00293950735968,200
2,1,0,15,0.99565,0.006541517965,200
2,1,0,16,0.98855,0.0114478279083,200
2,1,0,17,0.9786,0.015072354806,200
2,1,0,18,0.9626,0.0221742754665,200
2,1,0,19,0.9413,0.0263587541359,200
2,1,0,20,0.9163,0.0307577665152,200
2,1,0,21,0.8851,0.0320331172853,200
2,1,0,22,0.85065,0.0358539401618,200
2,1,0,23,0.8112,0.0411708048972,200
2,1,0,24,0.7657,0.0461645516511,200
2,1,0,25,0.7241,0.0458771573644,200
2,1,0,26,0.67895,0.0466182777363,200
2,1,0,27,0.63075,0.0476370015807,200
2,1,0,28,0.58115,0.0482161954901,200
2,1,0,29,0.53405,0.0482570327106,200
2,1,0,30,0.4883,0.0488676810505,200
2,1,1,1,1,0,200
2,1,1,2,1,0,200
2,1,1,3,1,0,200
2,1,1,4,1,0,200
2,1,1,5,1,0,200
2,1,1,6,1,0,200
2,1,1,7,1,0,200
2,1,1,8,1,0,200
2,1,1,9,1,0,200
2,1,1,10,1,0,200
2,1,1,11,1,0,200
2,1,1,12,1,0,200
2,1,1,13,0.9998,0.00140351317993,200
2,1,1,14,0.99905,0.00293950735968,200
2,1,1,15,0.99565,0.006541517965,200
2,1,1,16,0.98825,0.0116669657775,200
2,1,1,17,0.9781,0.0158634246368,200
2,1,1,18,0.9621,0.0228736973433,200
2,1,1,19,0.9394,0.0322309505112,200
2,1,1,20,0.91355,0.0376027570357,200
2,1,1,21,0.88125,0.0397345146981,200
2,1,1,22,0.8444,0.0455413004892,200
2,1,1,23,0.80005,0.0574281066829,200
2,1,1,24,0.7494,0.0694098598415,200
2,1,1,25,0.69885,0.0832576524015,200
2,1,1,26,0.64275,0.0948468085147,200
2,1,1,27,0.58445,0.104932126902,200
2,1,1,28,0.52635,0.109934551109,200
2,1,1,29,0.4688,0.115573988136,200
2,1,1,30,0.41125,0.119412033181,200
2,1,2,1,1,0,200
2,1,2,2,1,0,200
2,1,2,3,1,0,200
2,1,2,4,1,0,200
2,1,2,5,1,0,200
2,1,2,6,1,0,200
2,1,2,7,1,0,200
2,1,2,8,0.99995,0.000707106781187,200
2,1,2,9,0.9999,0.00141421356237,200
2,1,2,10,0.99955,0.00451658028684,200
2,1,2,11,0.9986,0.0119058281408,200
2,1,2,12,0.9923,0.0535635629545,200
2,1,2,13,0.98775,0.0689507689784,200
2,1,2,14,0.9809,0.0828038185219,200
2,1,2,15,0.9691,0.0998450558409,200
2,1,2,16,0.9454,0.132679536088,200
2,1,2,17,0.9209,0.15450745213,200
2,1,2,18,0.88705,0.173601511873,200
2,1,2,19,0.8357,0.203708112197,200
2,1,2,20,0.78155,0.233350293114,200
