outcome,family,estimand_id,calibration_ratio,price_impact_lambda,transition,conditioning_intensity,funding_intensity,market_intensity,blocks,estimate,block_se,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper
worst_10pct_mean_equity_loss,channel_interaction,interaction_funding_2_market_2,2,0.15,,,2,2,200,-0.00103967830237,6.11466930523e-05,-0.00116093161708,-0.000920937484291,-0.00119306945052,-0.000886287154224
worst_10pct_mean_equity_loss,fire_sale_amplification_average,fire_sale_average_stressed_cells,0.5,,,,,,200,0.000966469985826,1.02213988741e-05,0.000946267995641,0.00098606699398,0.000944514420286,0.000988425551367
worst_10pct_mean_equity_loss,fire_sale_amplification_average,fire_sale_average_stressed_cells,1,,,,,,200,0.00347988417973,2.29218570702e-05,0.00343335521106,0.00352478337075,0.00343064802904,0.00352912033041
worst_10pct_mean_equity_loss,fire_sale_amplification_average,fire_sale_average_stressed_cells,2,,,,,,200,0.00726937640379,3.4255816792e-05,0.00719892811016,0.00733525717273,0.00719579490677,0.0073429579008
worst_10pct_mean_equity_loss,funding_local_average,funding_0_to_1_average_market,0.5,0,0_to_1,,,,200,-1.06016798802e-07,6.46294469751e-08,-2.46710267956e-07,-4.82093136816e-10,-2.82308217945e-07,7.02746203409e-08
worst_10pct_mean_equity_loss,funding_local_average,funding_1_to_2_average_market,0.5,0,1_to_2,,,,200,-6.75318200361e-05,7.30962966303e-06,-8.21892093118e-05,-5.38198714831e-05,-8.74704864957e-05,-4.75931535766e-05
worst_10pct_mean_equity_loss,funding_local_average,funding_0_to_1_average_market,0.5,0.15,0_to_1,,,,200,9.56164168964e-05,2.98152944548e-06,8.95727300134e-05,0.000101421147786,8.74836216806e-05,0.000103749212112
worst_10pct_mean_equity_loss,funding_local_average,funding_1_to_2_average_market,0.5,0.15,1_to_2,,,,200,0.00231827660811,2.51133478616e-05,0.00226930153421,0.00236790059345,0.00224977427765,0.00238677893857
worst_10pct_mean_equity_loss,funding_local_average,funding_0_to_1_average_market,1,0,0_to_1,,,,200,-8.72371719346e-06,1.45480877944e-06,-1.16601197238e-05,-6.11707767522e-06,-1.26920368421e-05,-4.75539754486e-06
worst_10pct_mean_equity_loss,funding_local_average,funding_1_to_2_average_market,1,0,1_to_2,,,,200,-0.000257571941554,1.8445053181e-05,-0.000293631304913,-0.000222530459405,-0.000307884991621,-0.000207258891488
worst_10pct_mean_equity_loss,funding_local_average,funding_0_to_1_average_market,1,0.15,0_to_1,,,,200,0.000835833100542,1.23553209578e-05,0.00081147160095,0.000860067524204,0.000802131171042,0.000869535030043
worst_10pct_mean_equity_loss,funding_local_average,funding_1_to_2_average_market,1,0.15,1_to_2,,,,200,0.00733300556891,4.80924129807e-05,0.0072347893613,0.00742270117833,0.0072018226464,0.00746418849142
worst_10pct_mean_equity_loss,funding_local_average,funding_0_to_1_average_market,2,0,0_to_1,,,,200,-3.33030913164e-05,3.61387743676e-06,-4.05696277656e-05,-2.65530880161e-05,-4.31607585526e-05,-2.34454240803e-05
worst_10pct_mean_equity_loss,funding_local_average,funding_1_to_2_average_market,2,0,1_to_2,,,,200,-0.00038638144361,2.34287947471e-05,-0.000434432160984,-0.00034235622223,-0.000450288774835,-0.000322474112384
worst_10pct_mean_equity_loss,funding_local_average,funding_0_to_1_average_market,2,0.15,0_to_1,,,,200,0.00245863010903,2.59050792636e-05,0.00240890517856,0.00250770473759,0.00238796815228,0.00252929206577
worst_10pct_mean_equity_loss,funding_local_average,funding_1_to_2_average_market,2,0.15,1_to_2,,,,200,0.0140147558991,5.86937488075e-05,0.0138952542457,0.0141274076332,0.0138546554379,0.0141748563604
worst_10pct_mean_equity_loss,liquidity_minus_market,funding_minus_market_0_to_1,0.5,0,0_to_1,,,,200,-0.120412241887,0.00450031265371,-0.129096051095,-0.11173510339,-0.129203728491,-0.111620755284
worst_10pct_mean_equity_loss,liquidity_minus_market,funding_minus_market_1_to_2,0.5,0,1_to_2,,,,200,-0.120521714679,0.00429583637821,-0.128903456609,-0.112231023648,-0.128913751161,-0.112129678197
worst_10pct_mean_equity_loss,liquidity_minus_market,funding_minus_market_0_to_1,0.5,0.15,0_to_1,,,,200,-0.120309590471,0.00450024606104,-0.128989224938,-0.111633021573,-0.129100946984,-0.111518233958
worst_10pct_mean_equity_loss,liquidity_minus_market,funding_minus_market_1_to_2,0.5,0.15,1_to_2,,,,200,-0.118128772672,0.00429710434253,-0.126477566659,-0.109848149641,-0.126523286158,-0.109734259186
worst_10pct_mean_equity_loss,liquidity_minus_market,funding_minus_market_0_to_1,1,0,0_to_1,,,,200,-0.0902396317273,0.003392098388,-0.0967893209545,-0.0837077710527,-0.0968661907758,-0.0836130726789
worst_10pct_mean_equity_loss,liquidity_minus_market,funding_minus_market_1_to_2,1,0,1_to_2,,,,200,-0.0905102742523,0.00328549022458,-0.0968843273042,-0.0841911598666,-0.0969285712726,-0.084091977232
worst_10pct_mean_equity_loss,liquidity_minus_market,funding_minus_market_0_to_1,1,0.15,0_to_1,,,,200,-0.0893721125766,0.00339225222229,-0.0959089898334,-0.0828540317004,-0.0959989721446,-0.0827452530085
worst_10pct_mean_equity_loss,liquidity_minus_market,funding_minus_market_1_to_2,1,0.15,1_to_2,,,,200,-0.0828967514417,0.00328798749052,-0.0892705124669,-0.0765718760987,-0.0893199269409,-0.0764735759426
worst_10pct_mean_equity_loss,liquidity_minus_market,funding_minus_market_0_to_1,2,0,0_to_1,,,,200,-0.0600949545955,0.00227182553054,-0.0644850824636,-0.0557264894359,-0.0645330292926,-0.0556568798984
worst_10pct_mean_equity_loss,liquidity_minus_market,funding_minus_market_1_to_2,2,0,1_to_2,,,,200,-0.0604564044201,0.00223368759109,-0.0647649563366,-0.0561460342823,-0.0648199755861,-0.0560928332541
worst_10pct_mean_equity_loss,liquidity_minus_market,funding_minus_market_0_to_1,2,0.15,0_to_1,,,,200,-0.0575659534881,0.0022719314279,-0.0619262791894,-0.0532250593842,-0.0620042350587,-0.0531276719176
worst_10pct_mean_equity_loss,liquidity_minus_market,funding_minus_market_1_to_2,2,0.15,1_to_2,,,,200,-0.0460194741716,0.0022363783262,-0.0503592571542,-0.0417333275825,-0.0503883017639,-0.0416506465793
worst_10pct_mean_equity_loss,market_local_average,market_0_to_1_average_funding,0.5,0,0_to_1,,,,200,0.120412135871,0.00431697064125,0.111868943409,0.128729149931,0.111848248531,0.12897602321
worst_10pct_mean_equity_loss,market_local_average,market_1_to_2_average_funding,0.5,0,1_to_2,,,,200,0.120454182859,0.00411672358532,0.112287547921,0.128417464305,0.112287540108,0.128620825609
worst_10pct_mean_equity_loss,market_local_average,market_0_to_1_average_funding,0.5,0.15,0_to_1,,,,200,0.120405206888,0.00431672717498,0.11186294479,0.128722102664,0.11184180253,0.128968611246
worst_10pct_mean_equity_loss,market_local_average,market_1_to_2_average_funding,0.5,0.15,1_to_2,,,,200,0.12044704928,0.0041164725378,0.112280733273,0.128409741498,0.112280904551,0.12861319401
worst_10pct_mean_equity_loss,market_local_average,market_0_to_1_average_funding,1,0,0_to_1,,,,200,0.0902309080101,0.00325380927319,0.0838011611062,0.0965082536245,0.0837760908813,0.096685725139
worst_10pct_mean_equity_loss,market_local_average,market_1_to_2_average_funding,1,0,1_to_2,,,,200,0.0902527023107,0.00314197768188,0.0840140485001,0.0963169360535,0.0840197336096,0.0964856710119
worst_10pct_mean_equity_loss,market_local_average,market_0_to_1_average_funding,1,0.15,0_to_1,,,,200,0.0902079456771,0.00325302187749,0.0837807391577,0.0964848352698,0.0837546905622,0.0966612007921
worst_10pct_mean_equity_loss,market_local_average,market_1_to_2_average_funding,1,0.15,1_to_2,,,,200,0.0902297570106,0.00314118254037,0.0839932387817,0.0962920896601,0.0839983656892,0.096461148332
worst_10pct_mean_equity_loss,market_local_average,market_0_to_1_average_funding,2,0,0_to_1,,,,200,0.0600616515042,0.0021783555032,0.0557641874617,0.0642655162909,0.0557402899141,0.0643830130944
worst_10pct_mean_equity_loss,market_local_average,market_1_to_2_average_funding,2,0,1_to_2,,,,200,0.0600700229764,0.00212899858917,0.0558558110365,0.0641696811868,0.0558465742716,0.0642934716813
worst_10pct_mean_equity_loss,market_local_average,market_0_to_1_average_funding,2,0.15,0_to_1,,,,200,0.0600245835972,0.0021771174873,0.0557298506386,0.0642266125845,0.0557056779488,0.0643434892455
worst_10pct_mean_equity_loss,market_local_average,market_1_to_2_average_funding,2,0.15,1_to_2,,,,200,0.0600342300707,0.00212776080375,0.055823722824,0.0641308652568,0.0558132368505,0.064255223291
