outcome,calibration_ratio,price_impact_lambda,funding_intensity,market_intensity,blocks,estimate,block_se,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper
asset_price_loss,1,0,2,2,200,0.069282069268,0.00259996107106,0.0639862958698,0.0743525837232,0.0628741763371,0.0756899621989
asset_price_loss,1,0.15,0,0,200,0,0,0,0,0,0
asset_price_loss,1,0.15,0,1,200,0.0346366603302,0.00132202281651,0.0319547533906,0.0372055366242,0.0313783882143,0.0378949324462
asset_price_loss,1,0.15,0,2,200,0.069282069268,0.00259996107106,0.0639862958698,0.0743525837232,0.0628741763371,0.0756899621989
asset_price_loss,1,0.15,1,0,200,0.000325550882429,4.76133569904e-06,0.000316592134255,0.00033513961163,0.000313816041586,0.000337285723273
asset_price_loss,1,0.15,1,1,200,0.0349606308521,0.00132176788748,0.0322756823155,0.0375296239105,0.0317029870371,0.0382182746672
asset_price_loss,1,0.15,1,2,200,0.0696044150572,0.00259964547057,0.0643044493512,0.0746748820334,0.0631972999588,0.0760115301557
asset_price_loss,1,0.15,2,0,200,0.0032800309383,2.00950202004e-05,0.00324057162543,0.00331926435349,0.00323050452834,0.00332955734826
asset_price_loss,1,0.15,2,1,200,0.0378930611123,0.00132128081209,0.0351977149544,0.040466082774,0.0346366177487,0.0411495044759
asset_price_loss,1,0.15,2,2,200,0.072514291508,0.00259826271766,0.0671985100591,0.0775733394731,0.0661105843578,0.0789179986583
asset_price_loss,2,0,0,0,200,0,0,0,0,0,0
asset_price_loss,2,0,0,1,200,0.0230901349707,0.000886178822201,0.0212942388037,0.0248100794896,0.0209060488035,0.0252742211378
asset_price_loss,2,0,0,2,200,0.0461841574212,0.00175296929665,0.0426243471408,0.0495944959145,0.0418637698242,0.0505045450182
asset_price_loss,2,0,1,0,200,0,0,0,0,0,0
asset_price_loss,2,0,1,1,200,0.0230901349707,0.000886178822201,0.0212942388037,0.0248100794896,0.0209060488035,0.0252742211378
asset_price_loss,2,0,1,2,200,0.0461841574212,0.00175296929665,0.0426243471408,0.0495944959145,0.0418637698242,0.0505045450182
asset_price_loss,2,0,2,0,200,0,0,0,0,0,0
asset_price_loss,2,0,2,1,200,0.0230901349707,0.000886178822201,0.0212942388037,0.0248100794896,0.0209060488035,0.0252742211378
asset_price_loss,2,0,2,2,200,0.0461841574212,0.00175296929665,0.0426243471408,0.0495944959145,0.0418637698242,0.0505045450182
asset_price_loss,2,0.15,0,0,200,0,0,0,0,0,0
asset_price_loss,2,0.15,0,1,200,0.0230901349707,0.000886178822201,0.0212942388037,0.0248100794896,0.0209060488035,0.0252742211378
asset_price_loss,2,0.15,0,2,200,0.0461841574212,0.00175296929665,0.0426243471408,0.0495944959145,0.0418637698242,0.0505045450182
